,Title,Genres,Poster_Path,Language,Release_Date,Popularity,ID,Action,Science Fiction,Adventure,Thriller,Animation,Drama,History,War,Romance,TV Movie,Documentary,Comedy,Horror,Crime,Music,Family,Fantasy,Mystery,Western,dominant_color,faces
11,"""Recount""",Drama History TV Movie,posters/movie11.png,en,2008-05-25,7.505,14050,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,"(248, 248, 225)",2
12,"""Back Fork""",Drama,posters/movie12.png,en,2019-04-09,5.79,593843,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"(90, 81, 81)",0
13,"""Greg Giraldo: Midlife Vices""",Comedy,posters/movie13.png,en,2009-08-16,3.293,37354,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"(38, 20, 18)",1
14,"""Disturbing the Peace: A Small Town Standoff""",Documentary Drama,posters/movie14.png,en,2020-02-18,1.065,685230,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,"(32, 30, 27)",0
15,"""A Christmas Prince: The Royal Wedding""",Romance Comedy,posters/movie15.png,en,2018-11-30,21.031,525041,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,"(213, 160, 122)",0
16,"""The Man Who Would Never Be, What They Made Him To Be""",Comedy Drama,posters/movie16.png,en,2016-09-09,1.131,603667,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,"(182, 182, 182)",0
17,"""Family Bonds""",Drama,posters/movie17.png,en,2003-10-03,0.6,479978,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"(60, 60, 60)",0
18,"""Public Enemies: The Golden Age of the Gangster Film""",Action Documentary,posters/movie18.png,en,2008-01-01,4.89,132548,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"(37, 35, 38)",1
19,"""Perfume 4th Tour in DOME LEVEL3""",Music,posters/movie19.png,en,2014-04-09,0.626,341830,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"(195, 207, 210)",2
20,"""Sweet Hideaway""",Comedy,posters/movie20.png,en,2003-02-10,1.091,580908,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"(38, 33, 95)",1
21,"""16 Years of Alcohol""",Crime Drama,posters/movie21.png,en,2003-08-14,3.469,29656,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,"(41, 41, 39)",0
22,"""Double Portrait""",Animation,posters/movie22.png,en,2018-06-27,0.6,586712,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"(7, 7, 7)",5
23,"""Possessed""",Horror,posters/movie23.png,en,2000-10-22,4.082,68572,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,"(65, 16, 22)",1
24,"""Big Game""",Action Adventure Thriller,posters/movie24.png,en,2014-09-05,15.595999999999998,230179,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"(181, 192, 184)",1
25,"""Grace of God""",Drama Family,posters/movie25.png,en,2014-01-01,0.888,332549,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,"(217, 191, 138)",2
26,"""Pieces of April""",Comedy Drama,posters/movie26.png,en,2003-10-17,9.779,1550,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,"(30, 72, 120)",1
27,"""Baby Einstein: World of Rhythm""",Family,posters/movie27.png,en,2012-02-07,0.6,734312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"(20, 50, 92)",1
28,"""The Thin Blue Lie""",Drama,posters/movie28.png,en,2000-08-13,0.958,141003,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"(34, 27, 25)",2
29,"""The Last Time I Saw Richard""",Horror Drama,posters/movie29.png,en,2013-06-15,1.807,211796,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,"(54, 38, 29)",2
30,"""Neil Young Trunk Show""",Music Documentary,posters/movie30.png,en,2009-03-21,3.194,124267,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,"(194, 111, 84)",0
31,"""The Essential Cornishman""",Documentary Drama,posters/movie31.png,en,2016-11-01,0.6,668488,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,"(219, 219, 219)",3
32,"""Guy X""",Comedy,posters/movie32.png,en,2005-06-06,1.7719999999999998,14407,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"(235, 234, 235)",0
33,"""Blood Trails""",Horror,posters/movie33.png,en,2006-04-20,2.654,25395,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,"(35, 11, 8)",0
34,"""Blue State""",Comedy Drama Romance,posters/movie34.png,en,2007-04-27,5.636,12855,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,"(53, 140, 183)",0
35,"""WWE King of the Ring 2000""",Action Drama,posters/movie35.png,en,2000-06-25,2.832,215447,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"(70, 36, 28)",0
36,"""#MerrittXanadu44""",Horror Drama Comedy,posters/movie36.png,en,2013-02-18,0.6,508741,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,"(210, 189, 178)",0
37,"""Officer Involved""",Documentary,posters/movie37.png,en,2017-03-01,0.898,461236,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"(48, 53, 63)",0
38,"""24|7|365: The Evolution of Emergency Medicine""",Documentary,posters/movie38.png,en,2013-01-01,2.887,481695,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"(169, 165, 170)",0
39,"""Parasite""",Horror,posters/movie39.png,en,2015-08-13,0.848,671137,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,"(128, 72, 42)",0
40,"""Taste of Love""",Action Adventure Romance Fantasy History,posters/movie40.png,en,2015-12-11,0.6,722454,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,"(233, 185, 37)",4
41,"""Story of Eva""",Thriller Horror,posters/movie41.png,en,2015-01-13,1.7380000000000002,327894,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,"(193, 159, 139)",0
42,"""Dirty Sexy Comics""",Documentary,posters/movie42.png,en,2018-09-21,0.6,549107,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"(185, 154, 124)",1
43,"""Passengers""",Drama Romance Science Fiction,posters/movie43.png,en,2016-12-21,19.427,274870,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,"(209, 158, 137)",2
44,"""The Andorra Hustle""",Documentary,posters/movie44.png,en,2020-08-27,2.06,730270,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"(77, 84, 87)",2
45,"""After Before""",Documentary,posters/movie45.png,en,2016-01-01,0.8859999999999999,492649,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"(236, 169, 36)",4
46,"""Cat Secrets""",Documentary,posters/movie46.png,en,2020-05-02,0.6,699445,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"(147, 132, 137)",1
47,"""Jackass 4""",Comedy Action,posters/movie47.png,en,2021-09-02,5.882000000000001,656663,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"(4, 4, 4)",0
48,"""Robot Chicken DC Comics Special III: Magical Friendship""",Animation,posters/movie48.png,en,2015-10-18,3.011,363863,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"(203, 143, 124)",0
49,"""Like Father, Like Son""",Drama,posters/movie49.png,en,2002-12-10,0.6,641919,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"(53, 37, 32)",3
50,"""One Last Time""",Thriller Mystery Horror,posters/movie50.png,en,2019-12-19,0.6,741451,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,"(10, 5, 6)",0
51,"""Food Journal""",Comedy Drama,posters/movie51.png,en,2020-03-05,0.6,696492,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,"(191, 198, 232)",1
52,"""Better Watch Out""",Horror Thriller,posters/movie52.png,en,2016-09-22,24.037,406994,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,"(27, 21, 20)",1
53,"""Kali Geisha Erotica Grotesque""",Horror,posters/movie53.png,en,2015-07-22,0.6,528753,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,"(191, 166, 190)",0
54,"""Hantu Gangster""",Horror Comedy Action,posters/movie54.png,en,2012-08-16,0.934,139650,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,"(208, 166, 167)",1
55,"""Tom and Jerry: School's Out""",Animation Comedy,posters/movie55.png,en,2010-01-01,0.6,356028,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"(201, 212, 209)",2
56,"""Cult""",Comedy Drama,posters/movie56.png,en,2020-10-29,2.625,755021,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,"(50, 50, 48)",6
57,"""Horizon: The Hawking Paradox""",Documentary,posters/movie57.png,en,2005-01-01,1.703,621125,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"(19, 45, 62)",2
58,"""Proof of Life""",Action Adventure Drama Romance Thriller,posters/movie58.png,en,2000-12-08,13.165999999999999,11983,1,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,"(32, 22, 19)",0
59,"""Christmas Do-Over""",Comedy Family Fantasy TV Movie,posters/movie59.png,en,2006-12-16,5.457999999999999,26987,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,"(218, 175, 170)",1
60,"""Fighting for a Generation: 20 Years of the UFC""",Documentary,posters/movie60.png,en,2013-11-05,4.833,233576,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"(217, 184, 127)",0
61,"""Camp Killer""",Comedy Horror,posters/movie61.png,en,2016-05-25,2.48,460566,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,"(66, 138, 216)",0
62,"""Darkness Reigns""",Horror,posters/movie62.png,en,2018-07-10,4.88,531101,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,"(124, 51, 45)",0
63,"""Levitated Mass""",History Documentary,posters/movie63.png,en,2013-06-20,3.077,230836,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,"(78, 73, 68)",3
64,"""The Expendables 3""",Action Adventure Thriller,posters/movie64.png,en,2014-08-04,41.6,138103,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"(22, 26, 39)",0
65,"""True Grit""",Drama Adventure Western,posters/movie65.png,en,2010-12-22,13.343,44264,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,"(44, 32, 28)",0
66,"""Terrorista Lírico""",Documentary,posters/movie66.png,en,2018-11-16,0.6,696869,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"(230, 229, 229)",1
67,"""Cause of Death""",Documentary,posters/movie67.png,en,2020-02-24,0.6,664650,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"(186, 186, 186)",0
68,"""We All Scream for Ice Cream""",Horror,posters/movie68.png,en,2007-01-12,2.4219999999999997,233885,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,"(213, 130, 171)",0
69,"""Muse: Simulation Theory""",Music,posters/movie69.png,en,2020-08-17,11.138,731971,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"(201, 88, 135)",0
70,"""The Million Dollar Duck""",Documentary,posters/movie70.png,en,2016-01-24,4.246,386028,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"(197, 156, 123)",0
71,"""Take a Walk on the Wild Side""",Documentary,posters/movie71.png,en,2017-05-01,0.6,499451,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"(143, 78, 75)",3
72,"""Killer Assistant""",TV Movie Thriller Crime Drama,posters/movie72.png,en,2016-04-01,4.484,409393,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,"(17, 19, 25)",4
73,"""Nobody""",Crime Horror Mystery Science Fiction Thriller,posters/movie73.png,en,2007-07-28,2.167,41547,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,"(17, 26, 27)",3
74,"""Frostbite""",Horror,posters/movie74.png,en,2017-06-19,0.6,684807,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,"(83, 143, 224)",1
75,"""Heartwood""",Documentary,posters/movie75.png,en,2019-11-29,0.6,761283,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"(189, 205, 202)",0
76,"""Painless""",Thriller Drama,posters/movie76.png,en,2017-03-02,4.4030000000000005,446841,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"(20, 32, 37)",4
77,"""Christie Malry's Own Double-Entry""",Thriller,posters/movie77.png,en,2000-12-07,1.4,85740,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"(36, 31, 35)",2
78,"""Blew""",Horror,posters/movie78.png,en,2020-05-20,0.6,733889,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,"(18, 14, 13)",3
79,"""Aos Sí""",Horror,posters/movie79.png,en,2017-10-30,0.6,484457,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,"(6, 5, 6)",0
80,"""Objectified""",Documentary,posters/movie80.png,en,2009-05-22,6.664,23951,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"(162, 154, 161)",0
81,"""No Place on Earth""",Documentary War,posters/movie81.png,en,2012-09-10,2.228,128140,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,"(18, 19, 13)",2
82,"""Armored Saint: Punching The Sky Record Release show""",Music,posters/movie82.png,en,2020-10-10,0.823,755075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"(22, 23, 37)",4
83,"""Battlestar Galactica: The Plan""",Science Fiction Action Drama,posters/movie83.png,en,2009-11-21,13.216,105077,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"(39, 48, 51)",1
84,"""Manslaughter""",Thriller Drama,posters/movie84.png,en,2012-01-12,1.685,109152,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"(43, 43, 42)",0
85,"""Gerhard Richter Painting""",Documentary,posters/movie85.png,en,2012-03-14,1.979,96574,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"(37, 48, 47)",0
86,"""Static""",Science Fiction,posters/movie86.png,en,2019-04-16,0.623,695309,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"(11, 16, 46)",1
87,"""Today You Die""",Action Adventure Thriller,posters/movie87.png,en,2005-09-13,6.697,8382,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"(220, 143, 64)",0
88,"""Melany Rose""",Horror Mystery Thriller,posters/movie88.png,en,2020-03-22,4.323,709147,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,"(12, 5, 4)",0
89,"""Running Away with Blackie""",Drama Fantasy,posters/movie89.png,en,2009-04-10,0.6,206843,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,"(7, 6, 5)",0
90,"""The Christmas Ring""",TV Movie Romance,posters/movie90.png,en,2020-11-07,10.211,746035,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,"(41, 52, 62)",0
91,"""Meatoo""",Drama,posters/movie91.png,en,2019-02-18,0.6,652167,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"(35, 38, 47)",0
92,"""The Girl He Met Online""",Crime Drama Mystery,posters/movie92.png,en,2014-02-08,2.734,258350,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,"(229, 209, 190)",3
93,"""Alien Contact: Outer Space""",Documentary,posters/movie93.png,en,2017-10-10,2.3890000000000002,499056,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"(54, 61, 78)",3
94,"""Boney M: The Greatest Hits""",Music,posters/movie94.png,en,2001-11-26,0.6,156018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"(69, 59, 69)",1
95,"""Some Girl(s)""",Comedy Drama,posters/movie95.png,en,2013-06-28,7.191,172897,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,"(51, 37, 35)",1
96,"""Impossible Horror""",Horror,posters/movie96.png,en,2017-10-16,1.484,481072,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,"(6, 5, 5)",2
97,"""Martin Garrix Live: On Dutch Waters""",Music,posters/movie97.png,en,2020-05-05,0.6,702623,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"(41, 41, 55)",2
98,"""Hakkunde""",Comedy Drama,posters/movie98.png,en,2017-08-04,0.613,557445,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,"(43, 15, 9)",0
99,"""The Galaxy Britain Built: The British Force Behind Star Wars""",Documentary,posters/movie99.png,en,2017-12-21,3.697,658336,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"(10, 12, 24)",2
100,"""Oliver Sacks: His Own Life""",Documentary,posters/movie100.png,en,2019-08-31,1.827,629992,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"(19, 36, 59)",1
101,"""Mandy the Haunted Doll""",Horror,posters/movie101.png,en,2018-06-19,3.702,547681,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,"(55, 51, 42)",0
102,"""Art of Obsession""",Thriller,posters/movie102.png,en,2017-10-29,0.6409999999999999,489422,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"(39, 22, 19)",0
103,"""Black Cat""",Horror,posters/movie103.png,en,2004-01-01,0.6,227670,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,"(32, 27, 30)",0
104,"""Wasp""",Drama Romance,posters/movie104.png,en,2015-08-04,1.083,352969,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,"(68, 176, 211)",10
105,"""All Hallows' Eve""",Horror,posters/movie105.png,en,2013-10-29,9.879,231001,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,"(203, 154, 132)",0
106,"""The Mysterious Geographic Explorations of Jasper Morello""",Adventure Animation Mystery,posters/movie106.png,en,2005-01-19,2.568,52762,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"(214, 198, 188)",0
107,"""Frozen II""",Animation Family Adventure Comedy Fantasy,posters/movie107.png,en,2019-11-20,362.181,330457,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,"(63, 43, 48)",0
108,"""Frances Ha""",Comedy Drama,posters/movie108.png,en,2013-05-17,15.165999999999999,121986,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,"(193, 72, 121)",2
109,"""Haunting on Fraternity Row""",Horror,posters/movie109.png,en,2018-11-02,6.222,551608,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,"(45, 25, 38)",2
110,"""Cinematographer Style""",Documentary,posters/movie110.png,en,2006-06-25,3.616,49835,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"(13, 10, 9)",0
111,"""Happy Christmas""",Comedy Drama,posters/movie111.png,en,2014-06-26,10.694,244534,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,"(213, 148, 127)",0
112,"""Yefon""",Drama History Romance,posters/movie112.png,en,2015-01-16,0.7140000000000001,284269,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,"(150, 131, 92)",2
113,"""Monster Challenge""",Comedy,posters/movie113.png,en,2018-09-21,1.0270000000000001,550040,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"(233, 35, 5)",0
114,"""Shadow of the Missing""",Horror,posters/movie114.png,en,2018-04-17,0.6,551096,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,"(26, 29, 30)",0
115,"""The Violent Kind""",Horror,posters/movie115.png,en,2010-01-25,4.62,56529,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,"(22, 28, 34)",0
116,"""Anne""",Horror,posters/movie116.png,en,2019-03-07,8.426,512064,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,"(207, 163, 151)",3
117,"""Block Party""",History Documentary,posters/movie117.png,en,2002-05-12,0.6,341770,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,"(22, 21, 14)",0
118,"""Kimono As Art - Itchiku Kubota""",Documentary,posters/movie118.png,en,2008-11-13,1.3430000000000002,481123,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"(189, 123, 63)",0
119,"""O. Unilateralis""",Drama Horror Mystery,posters/movie119.png,en,2016-05-28,0.6,467834,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,"(63, 71, 71)",0
120,"""Romeo and Juliet""",Comedy Romance Drama,posters/movie120.png,en,2015-12-13,0.616,544967,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,"(139, 167, 178)",0
121,"""Agents of Secret Stuff""",Action Comedy,posters/movie121.png,en,2010-11-24,0.6920000000000001,704348,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"(194, 57, 36)",0
122,"""Siempre, Luis""",Documentary,posters/movie122.png,en,2020-01-25,5.872999999999999,654997,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"(39, 44, 57)",0
123,"""God""",Drama,posters/movie123.png,en,2016-12-29,0.6,494892,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"(17, 10, 7)",3
124,"""YOLO: The Movie""",Comedy Romance,posters/movie124.png,en,2015-10-29,0.6,764681,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,"(137, 161, 169)",2
125,"""If""",Science Fiction,posters/movie125.png,en,2003-04-26,0.6,640456,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"(22, 27, 29)",1
126,"""Neighbors 2: Sorority Rising""",Comedy,posters/movie126.png,en,2016-05-04,30.899,325133,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"(189, 168, 154)",4
127,"""Hotel Camarillo""",Documentary Horror,posters/movie127.png,en,2019-05-11,1.176,514507,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,"(30, 34, 31)",5
128,"""Tom and Jerry's Greatest Chases""",Animation Comedy Family,posters/movie128.png,en,2000-08-23,4.647,266678,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,"(71, 166, 76)",1
129,"""Emo Kev""",Comedy,posters/movie129.png,en,2013-12-03,0.6,734709,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"(9, 9, 9)",1
130,"""What It Was""",Drama Romance,posters/movie130.png,en,2014-07-26,2.042,509767,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,"(173, 171, 171)",0
131,"""Momentum""",Documentary,posters/movie131.png,en,2020-11-06,2.043,759501,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"(76, 76, 76)",0
132,"""Isle of the Dead""",Horror,posters/movie132.png,en,2016-12-02,8.533999999999999,408149,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,"(44, 50, 50)",1
133,"""Susanne and the Man""",Comedy,posters/movie133.png,en,2018-11-18,0.614,486603,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"(242, 211, 211)",2
134,"""Superman Returns""",Science Fiction Action Adventure,posters/movie134.png,en,2006-06-28,24.329,1452,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"(194, 186, 166)",3
135,"""Nautilus""",Action Science Fiction,posters/movie135.png,en,2000-01-01,2.7710000000000004,46462,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"(47, 59, 69)",0
136,"""Under Surveillance""",Horror Mystery,posters/movie136.png,en,2006-10-01,0.84,260824,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,"(210, 136, 83)",0
137,"""Door to Door""",Thriller Mystery Crime,posters/movie137.png,en,2018-12-10,0.6,607777,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,"(148, 41, 26)",0
138,"""Boost""",Action Drama Crime,posters/movie138.png,en,2016-04-05,5.056,391484,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,"(227, 133, 107)",0
